,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,84463,229333,487264,235041,465336,611053,1191268,1614530,1308998,1378552,1102932,682484,592820,429666,638869,525555,780293,500228,278561,269719,706447,1115031,1249719,1784078,2750607,1288792,512948,682451,552438,1049683,2735100,1969091,789393,422878,619838,509824,152023
0,550919,512185,658699,753050,695111,724084,945897,1609421,1495297,1617543,1144474,926371,926283,359697,660217,973767,634088,708016,782369,775190,974922,976583,1787437,1685662,1541560,1633735,744566,712911,750466,1247361,943487,1459322,1824698,1713028,719260,385961,210105
0,259676,359221,465359,821849,694457,719441,796920,1111547,859355,466843,523599,1312662,1307180,610791,459081,489273,777669,327343,736729,549295,842214,941160,1433845,1810552,1889777,1255991,897985,876228,888448,1424088,1117685,1725480,906167,1015199,873398,643261,230757
0,445370,796596,740996,450819,616301,536871,1209664,1834609,774254,373328,731352,1902359,1222204,540011,543606,513758,689002,247567,716452,641831,1239194,992886,1773290,2323278,1832967,776702,624763,758758,761183,1427824,1765807,1703976,1183950,995879,765687,446003,212871
0,208126,464589,733589,922026,501650,727599,1433283,1686908,828383,433494,535771,930749,1209708,1148665,1646907,484768,525242,624104,562011,521102,650615,593027,1056392,944896,2714825,2376542,483511,529140,478064,592526,2463211,1984874,798699,1047727,633620,490320,383705
0,138574,274214,357562,455451,540910,736174,974097,1022584,1256528,1907900,1275062,1205206,767099,384386,272990,312975,338619,412984,997782,742110,768852,926985,1441667,1942516,2090981,811139,513359,943263,769336,1360843,1877361,1426768,812761,750957,726682,865203,615735
0,466071,439032,427392,528501,872831,756241,1078086,875860,451825,1501771,1517024,1167851,623896,754910,596642,597664,736532,644553,1292665,484879,534021,1044262,1328569,1631795,1802318,1933786,1061985,674619,410124,409968,1486448,2808622,1377032,571519,599842,486992,580657
0,217599,315133,620757,490906,792838,820407,882471,1396492,1245430,341602,374596,1489711,1504632,451997,526141,608323,448543,497400,1269118,379241,764601,890546,925787,1267322,1734729,1418025,611908,807023,1500540,1768578,1343868,1575536,1169219,385434,594391,550097,387506
0,474246,1052328,717586,449271,361697,685217,929696,929865,933861,1986687,973296,568770,511623,383392,523573,690924,1044014,703218,738067,515628,687334,1125152,1436071,2115211,1955977,1003350,557696,655015,358894,1796300,1592441,1558773,1003372,833412,779445,771041,468174
0,223114,284800,329192,432321,451351,769434,1041097,1704859,1183927,1120571,1514012,914587,852672,512275,566785,383150,237248,280530,785806,525992,479941,1274726,1291572,2139685,2467123,966240,448660,565085,465377,1098270,3473135,1578637,1135441,845668,326225,352857,229833
0,447884,487971,428882,416629,360867,727465,1591359,1807729,1515091,1539389,1022471,1744030,1254890,669561,464598,256899,229167,281079,1012822,423778,547008,1124417,1377111,2074336,2218471,1083409,573711,588243,547859,1274095,2813066,1860523,942437,823326,462475,448656,200832
0,266383,306079,582179,411825,392988,818147,970442,793000,1003214,1355149,729796,602743,1147963,924972,570403,498891,255722,314730,1229742,494146,626443,724619,1432688,1988606,1401109,1074019,508324,662494,609123,834658,1271051,1623833,1732651,1301753,772671,357046,134612
0,266849,428981,312652,359989,504932,570326,659710,968151,823171,1842244,1166960,975574,736768,551171,600493,378109,502123,293221,661260,303390,765493,931802,769293,2181230,1929973,808794,726381,877604,559433,1534596,2387454,1299607,759160,742509,539807,452225,139955
0,179743,379149,540558,338203,661113,656871,891537,997629,1057546,434580,609213,1130435,915947,494633,853903,432512,254742,310914,680604,269646,610006,773897,949306,1531624,2653070,1206733,447089,505217,412828,1328720,1808142,1065879,871739,688901,745668,554598,333414
0,163958,531689,978899,463090,853416,830944,669666,1258153,1204817,1330002,683014,1323585,566538,561999,596666,337710,583892,491192,713260,567445,700334,646551,1075439,2027193,2603427,1259567,622427,732172,450208,600714,1574802,2055733,1275761,648403,479965,367999,207041
0,499368,851475,685401,400685,520473,571508,1140650,1530913,1226975,485535,836984,956790,1050892,822451,644230,627203,350573,474513,1175512,557392,742669,942993,1603728,1666771,1577128,853220,849503,1059760,1083453,1323333,1437684,1419799,1093697,722916,640224,711536,421301
0,204551,258667,485537,447140,512234,975629,1366346,1282887,1036918,1766415,915599,1105228,621082,394333,532346,404278,523151,376659,453240,726677,640549,803668,895944,2095503,2857950,971318,545132,619574,471837,942105,2203158,1271427,1109977,1114440,805546,511442,84886
0,325817,311947,269455,601940,484702,650186,1012827,1059956,1397647,1722489,1003761,962976,881125,428336,420477,417838,694367,522945,290141,657368,561296,1224247,1276347,2256178,2033804,597867,590731,819016,870884,2114097,1594024,1671625,1089314,767524,728689,390846,276687
0,217305,273907,661569,1034123,596935,658735,1037695,1239936,1038718,1231020,1142072,934001,1150479,812937,707258,504067,644520,648402,1289802,354437,593270,711652,810242,1336979,2434926,1913246,748750,794941,479850,2150893,2164061,1445225,975408,822432,776635,748962,170693
1,436575,448678,661626,867332,1300757,950007,803191,873516,700842,414426,473296,1408200,1733795,737535,788090,786940,714987,741262,530961,584905,1496957,659579,509987,1551279,1605952,1606785,952257,1334573,729139,1145208,1753076,1766683,885099,842669,752235,660619,323672
